id,naamdossier,registratienummer,natuurbeheerplantype,goedkeuringsdatum,einddatumnatuurbeheerplan,eigendomtype,einddatumerkenningreservaat,opp_ha,inspireid,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,occurrence_lat,occurrence_lon,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,plan_centroid_lat,plan_centroid_lon
42781,Langdonken,NBP-AN-20-0188,Natuurbeheerplan Type 4,2022-09-13,2025-05-19,Privaatrechtelijke rechtspersoon,2099-12-31,245.1763,NatuurbeheerplanType4-NBP-AN-20-0188,2574691638,271c444f-f8d8-4986-b748-e7367755c0c1,INBO:FLORA:05637393,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Rhinanthus,Rhinanthus minor,,SPECIES,Rhinanthus minor L.,Rhinanthus minor L.,,BE,,,PRESENT,,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.0252,4.86074,700.0,,,,,,2018-06-12,12.0,6.0,2018,3172043,3172043,HUMAN_OBSERVATION,INBO,IFBL,05637393,,,,CC0_1_0,,Ward Tamsyn;Myriam Kumpen,,,2026-06-11T17:00:58.551Z,,,51.02426189095983,4.863361891803282
42781,Langdonken,NBP-AN-20-0188,Natuurbeheerplan Type 4,2022-09-13,2025-05-19,Privaatrechtelijke rechtspersoon,2099-12-31,245.1763,NatuurbeheerplanType4-NBP-AN-20-0188,2574691751,271c444f-f8d8-4986-b748-e7367755c0c1,INBO:FLORA:05657710,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Rhinanthus,Rhinanthus minor,,SPECIES,Rhinanthus minor L.,Rhinanthus minor L.,,BE,,,PRESENT,,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.0252,4.86074,700.0,,,,,,2018-06-12,12.0,6.0,2018,3172043,3172043,HUMAN_OBSERVATION,INBO,IFBL,05657710,,,,CC0_1_0,,Ward Tamsyn;Myriam Kumpen,,,2026-06-11T17:00:25.535Z,,,51.02426189095983,4.863361891803282
42781,Langdonken,NBP-AN-20-0188,Natuurbeheerplan Type 4,2022-09-13,2025-05-19,Privaatrechtelijke rechtspersoon,2099-12-31,245.1763,NatuurbeheerplanType4-NBP-AN-20-0188,2574691746,271c444f-f8d8-4986-b748-e7367755c0c1,INBO:FLORA:05497811,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Rhinanthus,Rhinanthus minor,,SPECIES,Rhinanthus minor L.,Rhinanthus minor L.,,BE,,,PRESENT,,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.0252,4.86074,700.0,,,,,,2018-06-12,12.0,6.0,2018,3172043,3172043,HUMAN_OBSERVATION,INBO,IFBL,05497811,,,,CC0_1_0,,Ward Tamsyn;Myriam Kumpen,,,2026-06-11T17:00:25.413Z,,,51.02426189095983,4.863361891803282
42781,Langdonken,NBP-AN-20-0188,Natuurbeheerplan Type 4,2022-09-13,2025-05-19,Privaatrechtelijke rechtspersoon,2099-12-31,245.1763,NatuurbeheerplanType4-NBP-AN-20-0188,2574691671,271c444f-f8d8-4986-b748-e7367755c0c1,INBO:FLORA:05717931,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Rhinanthus,Rhinanthus minor,,SPECIES,Rhinanthus minor L.,Rhinanthus minor L.,,BE,,,PRESENT,,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.0252,4.86074,700.0,,,,,,2018-06-12,12.0,6.0,2018,3172043,3172043,HUMAN_OBSERVATION,INBO,IFBL,05717931,,,,CC0_1_0,,Ward Tamsyn;Myriam Kumpen,,,2026-06-11T17:01:18.110Z,,,51.02426189095983,4.863361891803282
42781,Langdonken,NBP-AN-20-0188,Natuurbeheerplan Type 4,2022-09-13,2025-05-19,Privaatrechtelijke rechtspersoon,2099-12-31,245.1763,NatuurbeheerplanType4-NBP-AN-20-0188,2574691839,271c444f-f8d8-4986-b748-e7367755c0c1,INBO:FLORA:05653924,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Rhinanthus,Rhinanthus minor,,SPECIES,Rhinanthus minor L.,Rhinanthus minor L.,,BE,,,PRESENT,,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.0252,4.86074,700.0,,,,,,2018-06-12,12.0,6.0,2018,3172043,3172043,HUMAN_OBSERVATION,INBO,IFBL,05653924,,,,CC0_1_0,,Ward Tamsyn;Myriam Kumpen,,,2026-06-11T17:01:00.180Z,,,51.02426189095983,4.863361891803282
42781,Langdonken,NBP-AN-20-0188,Natuurbeheerplan Type 4,2022-09-13,2025-05-19,Privaatrechtelijke rechtspersoon,2099-12-31,245.1763,NatuurbeheerplanType4-NBP-AN-20-0188,2574691792,271c444f-f8d8-4986-b748-e7367755c0c1,INBO:FLORA:05446865,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Rhinanthus,Rhinanthus minor,,SPECIES,Rhinanthus minor L.,Rhinanthus minor L.,,BE,,,PRESENT,,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.0252,4.86074,700.0,,,,,,2018-06-12,12.0,6.0,2018,3172043,3172043,HUMAN_OBSERVATION,INBO,IFBL,05446865,,,,CC0_1_0,,Ward Tamsyn;Myriam Kumpen,,,2026-06-11T17:00:26.738Z,,,51.02426189095983,4.863361891803282
42781,Langdonken,NBP-AN-20-0188,Natuurbeheerplan Type 4,2022-09-13,2025-05-19,Privaatrechtelijke rechtspersoon,2099-12-31,245.1763,NatuurbeheerplanType4-NBP-AN-20-0188,2574691832,271c444f-f8d8-4986-b748-e7367755c0c1,INBO:FLORA:05576388,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Rhinanthus,Rhinanthus minor,,SPECIES,Rhinanthus minor L.,Rhinanthus minor L.,,BE,,,PRESENT,,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.0252,4.86074,700.0,,,,,,2018-06-12,12.0,6.0,2018,3172043,3172043,HUMAN_OBSERVATION,INBO,IFBL,05576388,,,,CC0_1_0,,Ward Tamsyn;Myriam Kumpen,,,2026-06-11T17:00:50.284Z,,,51.02426189095983,4.863361891803282
42781,Langdonken,NBP-AN-20-0188,Natuurbeheerplan Type 4,2022-09-13,2025-05-19,Privaatrechtelijke rechtspersoon,2099-12-31,245.1763,NatuurbeheerplanType4-NBP-AN-20-0188,2574691815,271c444f-f8d8-4986-b748-e7367755c0c1,INBO:FLORA:05537194,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Rhinanthus,Rhinanthus minor,,SPECIES,Rhinanthus minor L.,Rhinanthus minor L.,,BE,,,PRESENT,,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.0252,4.86074,700.0,,,,,,2018-06-12,12.0,6.0,2018,3172043,3172043,HUMAN_OBSERVATION,INBO,IFBL,05537194,,,,CC0_1_0,,Ward Tamsyn;Myriam Kumpen,,,2026-06-11T17:00:28.764Z,,,51.02426189095983,4.863361891803282
42781,Langdonken,NBP-AN-20-0188,Natuurbeheerplan Type 4,2022-09-13,2025-05-19,Privaatrechtelijke rechtspersoon,2099-12-31,245.1763,NatuurbeheerplanType4-NBP-AN-20-0188,871855447,271c444f-f8d8-4986-b748-e7367755c0c1,INBO:FLORA:03831065,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Rhinanthus,Rhinanthus minor,,SPECIES,Rhinanthus minor L.,Rhinanthus minor L.,,BE,,,PRESENT,,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.0252,4.86074,700.0,,,,,,2011-06-18,18.0,6.0,2011,3172043,3172043,HUMAN_OBSERVATION,INBO,IFBL,03831065,,,,CC0_1_0,,Erik Molenaar,,,2026-06-11T17:01:21.086Z,,,51.02426189095983,4.863361891803282
42781,Langdonken,NBP-AN-20-0188,Natuurbeheerplan Type 4,2022-09-13,2025-05-19,Privaatrechtelijke rechtspersoon,2099-12-31,245.1763,NatuurbeheerplanType4-NBP-AN-20-0188,2574691810,271c444f-f8d8-4986-b748-e7367755c0c1,INBO:FLORA:05629807,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Rhinanthus,Rhinanthus minor,,SPECIES,Rhinanthus minor L.,Rhinanthus minor L.,,BE,,,PRESENT,,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.0252,4.86074,700.0,,,,,,2018-06-12,12.0,6.0,2018,3172043,3172043,HUMAN_OBSERVATION,INBO,IFBL,05629807,,,,CC0_1_0,,Ward Tamsyn;Myriam Kumpen,,,2026-06-11T17:00:57.371Z,,,51.02426189095983,4.863361891803282
